REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6804326174000,1148 Edenwood Dr,27103,Winston Salem,NC,36.056528,-80.340845,37067,SingleFamily,2018,1976,12196,1451,2.0,3,171375,Salem Woods,neighborhood
5898915983000,3451 Grandview Crossing Ln,27040,Pfafftown,NC,36.165625,-80.35651,37067,SingleFamily,2018,2013,9147,2846,3.0,4,353152,Winston-Salem,city
6845902989000,1256 Terry Rd,27107,Winston Salem,NC,36.082476,-80.18682,37067,SingleFamily,2018,1966,231303,1905,2.5,3,241510,Winston-Salem,city
6817301455000,707 Lynn Dee Dr,27106,Winston Salem,NC,36.134613,-80.309991,37067,SingleFamily,2018,1999,13068,2914,5.0,5,377075,Winston-Salem,city
6823690759000,1655 Tadmore St,27127,Winston Salem,NC,36.050885,-80.26501,37067,SingleFamily,2018,2000,6969,1538,2.0,3,141975,Winston-Salem,city
6805088296000,709 Surrey Path Trl,27104,Winston Salem,NC,36.100695,-80.350971,37067,SingleFamily,2018,2002,20473,3056,4.5,5,629172,Cedar View,neighborhood
6833050955000,2568 Fiddlers Glenn Dr,27127,Winston Salem,NC,36.040478,-80.251329,37067,SingleFamily,2018,2012,6098,1828,3.5,3,206637,Union Ridge,neighborhood
6818279235000,5109 Olde Lantern Ct,27106,Winston Salem,NC,36.180754,-80.311481,37067,SingleFamily,2018,2005,13068,2056,2.5,3,203385,Moravian Forest,neighborhood
6846960594000,3135 Beeson Acres Rd,27105,Winston Salem,NC,36.125119,-80.188239,37067,SingleFamily,2018,2001,10454,1144,2.0,3,127035,Winston-Salem,city
6805264930000,5205 Mountain View Rd,27104,Winston Salem,NC,36.096985,-80.345683,37067,SingleFamily,2018,1992,16552,2450,2.5,3,284818,Cedar View,neighborhood
6854366254000,3278 Ridgeback Dr,27107,Winston Salem,NC,36.069507,-80.171886,37067,SingleFamily,2018,2003,10018,1513,2.0,3,143297,Winston-Salem,city
6847875051000,306 Huff Cir,27105,Winston Salem,NC,36.153933,-80.190455,37067,Mobile,2018,1967,43560,800,1.0,2,,Huff Hills,neighborhood
6804274084000,4769 Kester Mill Rd,27103,Winston Salem,NC,36.070006,-80.345074,37067,Mobile,2018,1981,59677,1104,2.0,3,143673,Winston-Salem,city
5895796803000,521 Paigebrook Dr,27106,Winston Salem,NC,36.104901,-80.362142,37067,SingleFamily,2018,1999,20908,2310,2.5,3,322227,Winston-Salem,city
6833286049000,3628 Konnoak Dr,27127,Winston Salem,NC,36.046452,-80.242665,37067,SingleFamily,2018,1925,8276,972,1.0,2,,Union Ridge,neighborhood
6823975405000,961 W Clemmonsville Rd,27127,Winston Salem,NC,36.044594,-80.253269,37067,SingleFamily,2018,1987,13068,1136,2.0,3,120032,Konnoak,neighborhood
6835994360000,843 Camel Ave,27101,Winston Salem,NC,36.104931,-80.220468,37067,SingleFamily,2018,1940,5662,792,1.5,4,43123,Reynoldstown,neighborhood
6828434951000,148 Oak Summit Rd,27105,Winston Salem,NC,36.171985,-80.27234,37067,SingleFamily,2018,1961,19602,1242,1.5,3,121783,Hunter Hills,neighborhood
6806732531000,4030 Prestwick Xing,27106,Winston Salem,NC,36.115338,-80.32973,37067,SingleFamily,2018,2004,9147,2502,2.0,3,311043,Huntscroft,neighborhood
6807191707000,4324 Lochurst Dr,27040,Pfafftown,NC,36.15978,-80.351259,37067,SingleFamily,2018,2015,9583,2504,3.0,3,243256,Winston-Salem,city
6827716993000,4012 Dalton St,27105,Winston Salem,NC,36.139229,-80.260864,37067,SingleFamily,2018,1950,17859,976,1.0,4,91466,Brookwood,neighborhood
6823278925000,1905 Austin Place Ln,27127,Winston Salem,NC,36.045694,-80.275856,37067,SingleFamily,2018,1998,9147,1530,2.0,3,164019,Winding Woods,neighborhood
6844879958000,2700 Newland Dr,27107,Winston Salem,NC,36.074149,-80.18787,37067,SingleFamily,2018,1923,15681,960,1.0,2,35222,Parkview,neighborhood
6847641946000,4312 Orchid Dr,27105,Winston Salem,NC,36.148145,-80.198491,37067,SingleFamily,2018,1971,11761,960,1.5,3,69497,Jefferson Gardens,neighborhood
5897153359000,2721 Kecoughtan Rd,27040,Pfafftown,NC,36.147353,-80.384103,37067,SingleFamily,2018,1954,43560,1164,1.0,3,,Winston-Salem,city
5894607914000,2555 Wynbrook Dr,27103,Winston Salem,NC,36.052961,-80.36432,37067,SingleFamily,2018,2000,12196,1298,2.5,3,177273,Winston-Salem,city
6813584389000,78 Luzelle Dr,27103,Winston Salem,NC,36.046664,-80.300727,37067,SingleFamily,2018,2006,8276,2604,2.5,4,234680,Winston-Salem,city
6834184655000,130 Park Blvd,27127,Winston Salem,NC,36.075392,-80.247129,37067,SingleFamily,2018,1950,9583,1380,2.0,3,225729,Washington Park,neighborhood
6863183610000,3587 Maxton Trl,27107,Winston Salem,NC,36.048754,-80.145706,37067,SingleFamily,2018,1987,20908,1874,2.0,3,201387,Winston-Salem,city
6823253544000,3905 Lois St,27127,Winston Salem,NC,36.039079,-80.277361,37067,SingleFamily,2018,1991,9583,1356,2.5,3,139453,Carriage Cove,neighborhood
6838038763000,5330 Brookfield Ridge Ct,27105,Winston Salem,NC,36.171736,-80.250609,37067,SingleFamily,2018,1992,25264,1821,2.0,3,155070,Winston-Salem,city
6813916962000,4132 Kennison Village Dr,27127,Winston Salem,NC,36.029034,-80.286295,37067,SingleFamily,2018,2004,13068,1077,2.0,3,133210,Janita Lakes Estates,neighborhood
6813753874000,3174 Asheton Grove Ct,27127,Winston Salem,NC,36.039739,-80.294229,37067,SingleFamily,2018,2006,7841,2369,3.0,3,181689,Winston-Salem,city
6823243837000,1709 Carriage Cove Ln,27127,Winston Salem,NC,36.037233,-80.277367,37067,SingleFamily,2018,1992,10890,1225,2.0,3,140223,Carriage Cove,neighborhood
6815633981000,485 Pennsylvania Ave,27104,Winston Salem,NC,36.089305,-80.298382,37067,SingleFamily,2018,1957,12632,2022,2.0,3,253045,Country Club,neighborhood
6833273283000,337 Skyview Dr,27127,Winston Salem,NC,36.044033,-80.24351,37067,SingleFamily,2018,1927,21780,1230,1.0,2,96553,Union Ridge,neighborhood
6847025281000,3832 Barkwood Dr,27105,Winston Salem,NC,36.1404,-80.217212,37067,SingleFamily,2018,1967,13068,1513,2.0,4,109569,Northwoods Estate,neighborhood
6848056064000,4823 Westmoreland Dr,27105,Winston Salem,NC,36.175626,-80.2175,37067,SingleFamily,2018,1959,12196,1188,1.0,3,86160,Winston-Salem,city
