REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6825478002000,1851 Runnymede Rd,27104,Winston Salem,NC,36.098128,-80.269996,37067,SingleFamily,2018,1915,16552,3000,2.5,4,553614,West Highlands,neighborhood
6837332898000,400 Autoserve St,27105,Winston Salem,NC,36.144757,-80.241971,37067,SingleFamily,2018,1969,7405,1218,1.0,3,,Montview,neighborhood
6837332898000,400 Autoserve St,27105,Winston Salem,NC,36.144757,-80.241971,37067,Mobile,2018,1969,10890,1218,1.0,3,,Montview,neighborhood
6844530393000,2511 Waterbury St,27107,Winston Salem,NC,36.061252,-80.200828,37067,SingleFamily,2018,1950,7840,744,1.0,2,21963,Waughtown,neighborhood
6836276201000,2841 NE Gilmer Ave,27105,Winston Salem,NC,36.126397,-80.244025,37067,SingleFamily,2018,1951,14810,1982,3.0,1,95901,Greenway,neighborhood
6844445844000,2307 Waterbury St,27107,Winston Salem,NC,36.065377,-80.202654,37067,SingleFamily,2018,1930,15681,1196,1.0,3,38392,Waughtown,neighborhood
6834946078000,928 Glencoe St,27107,Winston Salem,NC,36.06314,-80.219139,37067,SingleFamily,2018,1955,11325,1160,1.0,3,78081,Belview,neighborhood
6837698361000,730 Essex Rd,27105,Winston Salem,NC,36.159795,-80.230113,37067,SingleFamily,2018,2001,9583,1400,2.0,3,114359,Mineral Springs,neighborhood
6834342727000,50 Edgewood View Ln,27127,Winston Salem,NC,36.064784,-80.240972,37067,SingleFamily,2018,1950,17859,788,1.0,2,53678,South Park,neighborhood
6834303818000,3169 Anderson Dr,27127,Winston Salem,NC,36.054114,-80.240502,37067,SingleFamily,2018,1949,7405,1014,1.0,2,74968,Konnoak,neighborhood
6826752358000,2516 Kirkwood St,27105,Winston Salem,NC,36.121199,-80.26205,37067,SingleFamily,2018,1946,5227,723,1.0,2,26028,Winston-Salem,city
6825125234000,2417 Rosewood Ave,27103,Winston Salem,NC,36.084902,-80.280842,37067,SingleFamily,2018,1928,11325,2068,1.5,4,326777,Ardmore,neighborhood
6825576418000,245 N Hawthorne Rd,27104,Winston Salem,NC,36.099439,-80.267275,37067,SingleFamily,2018,1924,24829,2523,4.0,4,532885,West Highlands,neighborhood
6825323770000,2215 Elizabeth Ave,27103,Winston Salem,NC,36.086234,-80.274642,37067,SingleFamily,2018,1927,10890,1636,1.0,3,267596,Ardmore,neighborhood
6845373636000,2829 Old Greensboro Rd,27101,Winston Salem,NC,36.100527,-80.207308,37067,SingleFamily,2018,1930,15246,937,1.0,2,45404,City View,neighborhood
6835864526000,138 N Cameron Ave,27101,Winston Salem,NC,36.097352,-80.223856,37067,SingleFamily,2018,1915,6534,912,1.0,2,,East Winston,neighborhood
6825300249000,1005 S Hawthorne Rd,27103,Winston Salem,NC,36.079604,-80.275665,37067,SingleFamily,2018,1939,9147,1688,2.0,3,259811,Ardmore,neighborhood
6824089613000,2440 Hoyt St,27103,Winston Salem,NC,36.074999,-80.282793,37067,SingleFamily,2018,1940,7405,1830,2.0,3,229865,Ardmore,neighborhood
6833782978000,909 Palmer Ln,27107,Winston Salem,NC,36.048904,-80.227041,37067,SingleFamily,2018,2016,16552,1080,1.0,2,85020,Weston,neighborhood
