REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6846582301000,3401 New Walkertown Rd,27105,Winston Salem,NC,36.129857,-80.201374,37067,SingleFamily,2018,1970,25700,2223,3.0,3,152694,Wildwood Park,neighborhood
6815849048000,500 Walter Ct,27103,Winston Salem,NC,36.089879,-80.289691,37067,SingleFamily,2018,1951,7405,864,1.0,4,109791,Biltmore,neighborhood
5896836630000,1020 Wild Dogwood Ln,27106,Winston Salem,NC,36.115288,-80.358845,37067,SingleFamily,2018,1995,15246,2157,2.5,3,303724,Winston-Salem,city
6818516882000,5110 Williamsburg Rd,27106,Winston Salem,NC,36.165941,-80.301843,37067,SingleFamily,2018,1963,36590,1331,2.0,3,139361,Colonial Estates,neighborhood
6816860224000,2865 Wesleyan Ln,27106,Winston Salem,NC,36.123167,-80.293302,37067,SingleFamily,2018,1959,20908,1975,2.0,3,266545,Reynolda,neighborhood
6834530084000,2819 Lomond St,27127,Winston Salem,NC,36.060116,-80.234615,37067,SingleFamily,2018,1956,12196,1125,2.0,3,,South Park,neighborhood
6803211076000,2924 S Stratford Rd,27103,Winston Salem,NC,36.026025,-80.345381,37067,SingleFamily,2018,1956,16117,1450,1.0,3,124715,Winston-Salem,city
6827506680000,1252 Brookwood Dr,27106,Winston Salem,NC,36.135464,-80.267621,37067,SingleFamily,2018,1946,14810,1056,1.0,3,113610,Brookwood,neighborhood
6818466222000,4820 Barkas Dr,27106,Winston Salem,NC,36.177984,-80.305745,37067,SingleFamily,2018,1991,14810,1820,2.5,3,173018,Boywood Forest,neighborhood
5893712305000,3250 S Stratford Rd,27103,Winston Salem,NC,36.026657,-80.362231,37067,SingleFamily,2018,1934,36154,1694,1.0,2,189688,Clemmons,city
5897274964000,5895 Millstone Ln,27040,Pfafftown,NC,36.154409,-80.380423,37067,SingleFamily,2018,1978,22215,1414,2.0,3,149952,Winston-Salem,city
