REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6812639533000,1918 Denise Ln,27127,Winston Salem,NC,36.005898,-80.295131,37067,SingleFamily,2018,2003,14810,1473,2.0,3,172581,Winston-Salem,city
6837147983000,523 Alspaugh Dr,27105,Winston Salem,NC,36.147608,-80.247139,37067,SingleFamily,2018,1970,7840,1050,2.0,3,88381,North Hills,neighborhood
6847541492000,4110 Orchid Dr,27105,Winston Salem,NC,36.146652,-80.201691,37067,SingleFamily,2018,1971,11325,960,1.5,3,67647,Northampton,neighborhood
6805777246000,420 Staffordshire Rd,27104,Winston Salem,NC,36.098213,-80.327738,37067,SingleFamily,2018,1967,21344,2479,3.0,3,298322,Peace Haven,neighborhood
6836374883000,2944 N Glenn Ave,27105,Winston Salem,NC,36.128139,-80.241071,37067,SingleFamily,2018,1946,7405,1092,1.0,3,29674,Greenway,neighborhood
6864293785000,551 Denny Dr,27107,Winston Salem,NC,36.079435,-80.142515,37067,SingleFamily,2018,2006,11326,1008,2.0,3,118120,Winston-Salem,city
6829302657000,114 Harmony St,27105,Winston Salem,NC,36.190511,-80.276652,37067,SingleFamily,2018,1948,15246,938,1.0,2,,Winston-Salem,city
6809402741000,5635 Sweetbriar Rd,27040,Pfafftown,NC,36.189935,-80.341129,37067,SingleFamily,2018,1964,26571,2063,2.0,3,201958,Winston-Salem,city
6805923138000,4420 Pinoak Dr,27104,Winston Salem,NC,36.084284,-80.322111,37067,SingleFamily,2018,1952,20908,924,1.0,2,116230,South Fork,neighborhood
6816116413000,624 Archer Rd,27106,Winston Salem,NC,36.109778,-80.314838,37067,SingleFamily,2018,1970,20473,2400,2.5,4,298462,Old Sherwood Forest,neighborhood
6827439221000,705 Yellowstone Ln,27106,Winston Salem,NC,36.142618,-80.270313,37067,SingleFamily,2018,2002,9147,1375,2.0,3,149364,Brookwood,neighborhood
6815301768000,3295 Chelsea Village Cir,27103,Winston Salem,NC,36.080647,-80.309189,37067,SingleFamily,2018,2003,10890,1179,2.0,3,142205,Old Vineyard,neighborhood
6864775442000,500 Smithdale St,27107,Winston Salem,NC,36.073191,-80.124999,37067,SingleFamily,2018,1985,23958,3140,2.0,3,257930,Winston-Salem,city
6815336122000,410 Keating Dr,27104,Winston Salem,NC,36.087057,-80.307657,37067,SingleFamily,2018,1954,20037,1094,1.0,2,144454,Country Club,neighborhood
6834203411000,311 Merrell Dr,27127,Winston Salem,NC,36.052775,-80.243874,37067,SingleFamily,2018,1970,23522,2291,3.0,3,191770,Konnoak,neighborhood
6826966292000,409 Bacon St,27105,Winston Salem,NC,36.1236,-80.253839,37067,SingleFamily,2018,1959,6969,950,1.0,3,29665,Cherry View,neighborhood
6815056827000,4001 Alonzo Dr,27104,Winston Salem,NC,36.094484,-80.317925,37067,SingleFamily,2018,1957,20473,1421,2.5,3,173849,South Fork,neighborhood
6846678248000,3440 Big Woods Rd,27105,Winston Salem,NC,36.127261,-80.195788,37067,SingleFamily,2018,1993,161172,3714,3.5,3,372777,Castleshine Woods,neighborhood
6815552010000,259 Anita Dr,27104,Winston Salem,NC,36.092248,-80.30238,37067,SingleFamily,2018,1940,16117,1602,2.0,3,225803,Country Club,neighborhood
6847861954000,4339 Northampton Dr,27105,Winston Salem,NC,36.153661,-80.191796,37067,SingleFamily,2018,1978,84942,2299,2.5,3,149994,Winston-Salem,city
6823378815000,2055 Highfield Park Dr,27127,Winston Salem,NC,36.045451,-80.272536,37067,SingleFamily,2018,1997,9147,1352,2.0,3,147491,Ardmore Village,neighborhood
6846008152000,2412 New Walkertown Rd,27101,Winston Salem,NC,36.10718,-80.215895,37067,SingleFamily,2018,1959,23522,2438,3.0,5,170838,Skyland,neighborhood
6818570366000,5020 Murray Rd,27106,Winston Salem,NC,36.181137,-80.304284,37067,SingleFamily,2018,1965,23958,1872,3.0,4,175543,Moravian Forest,neighborhood
6806705280000,4101 Allistair Rd,27104,Winston Salem,NC,36.106159,-80.328343,37067,SingleFamily,2018,1979,22215,2484,3.0,4,299690,New Sherwood Forest,neighborhood
6823835713000,1104 Twin Knolls Ct,27127,Winston Salem,NC,36.034328,-80.256458,37067,SingleFamily,2018,1991,23086,1486,2.0,3,162942,Kingstree,neighborhood
6815814310000,2840 Foxwood Ln,27103,Winston Salem,NC,36.082245,-80.291376,37067,SingleFamily,2018,1961,14810,2083,2.0,3,194197,Knollwood Manor,neighborhood
6849143613000,6325 Baux Mountain Rd,27105,Winston Salem,NC,36.201843,-80.215622,37067,SingleFamily,2018,1935,37461,1144,1.0,3,115442,Walkertown,city
6833284001000,330 Hartle St,27127,Winston Salem,NC,36.046153,-80.243472,37067,SingleFamily,2018,1949,7405,1085,1.0,3,77514,Union Ridge,neighborhood
6815740122000,3015 Kinnamon Rd,27104,Winston Salem,NC,36.089912,-80.296206,37067,SingleFamily,2018,1955,16552,1608,2.0,3,237751,Country Club,neighborhood
5893393184000,228 Cabot Dr,27103,Winston Salem,NC,36.04789,-80.375493,37067,SingleFamily,2018,2005,9583,2344,2.5,4,261840,Clemmons,city
6825063475000,237 Grandview Dr,27104,Winston Salem,NC,36.096448,-80.284951,37067,SingleFamily,2018,1956,22216,3970,5.0,4,414723,Country Club,neighborhood
6838266858000,220 Creeksedge Ct,27105,Winston Salem,NC,36.180473,-80.244683,37067,SingleFamily,2018,1990,13939,1304,2.0,3,143825,Pinebrook Country Club,neighborhood
6838360888000,5728 Old Rural Hall Rd,27105,Winston Salem,NC,36.180414,-80.243278,37067,SingleFamily,2018,1951,21780,1020,1.0,1,85550,Winston-Salem,city
6823963916000,960 W Clemmonsville Rd,27127,Winston Salem,NC,36.043265,-80.253914,37067,SingleFamily,2018,1962,27878,1218,1.5,3,132148,Winston-Salem,city
6826827046000,1371 Woodruff Glen Dr,27105,Winston Salem,NC,36.112122,-80.256885,37067,SingleFamily,2018,2000,7840,1111,2.0,3,97846,Boston Thurmon,neighborhood
6843026713000,587 Parthelia Ct,27107,Winston Salem,NC,36.031973,-80.215489,37067,SingleFamily,2018,2011,9147,1124,2.0,3,120682,Winston-Salem,city
6827684152000,4746 Cherry St,27105,Winston Salem,NC,36.156168,-80.26531,37067,SingleFamily,2018,1940,33105,822,1.0,2,59353,Piney Grove,neighborhood
6806358350000,59 Robinhood Cir,27106,Winston Salem,NC,36.120141,-80.341253,37067,SingleFamily,2018,1958,40946,1728,2.0,3,177905,Bent Tree Farm,neighborhood
6836156112000,2414 NW Kilkare Ave,27105,Winston Salem,NC,36.120626,-80.247364,37067,SingleFamily,2018,1996,10890,1118,2.0,3,70257,Greenway,neighborhood
6827718589000,3993 Dalton St,27105,Winston Salem,NC,36.138291,-80.260206,37067,SingleFamily,2018,2005,9147,1064,2.0,3,83371,Brookwood,neighborhood
6856178047000,4289 Morning Ridge Ln,27101,Winston Salem,NC,36.126676,-80.17888,37067,SingleFamily,2018,2007,4080,1815,2.5,3,159168,Winston-Salem,city
5883458204000,1415 S Peace Haven Rd,27012,Winston salem,NC,36.036658,-80.404576,37067,SingleFamily,2018,1996,129373,11421,10.0,6,1461471,Clemmons,city
6808146605000,4141 Crestview Place Dr,27040,Pfafftown,NC,36.173217,-80.349767,37067,SingleFamily,2018,2002,9583,2452,3.0,5,239024,Winston-Salem,city
6804839273000,2631 Atwood Rd,27103,Winston Salem,NC,36.059725,-80.322945,37067,SingleFamily,2018,1964,20037,1269,2.0,3,145521,Atwood Acres,neighborhood
6822895662000,4871 Dorset Rd,27127,Winston Salem,NC,36.022995,-80.256087,37067,SingleFamily,2018,1969,20037,1874,1.0,3,,Wilshire Estates,neighborhood
6822895662000,4871 Dorset Rd,27127,Winston Salem,NC,36.022995,-80.256087,37067,SingleFamily,2018,1969,24393,1874,2.0,3,,Wilshire Estates,neighborhood
