REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6846000175000,2200 Slater Ave,27101,Winston Salem,NC,36.107255,-80.218475,37067,SingleFamily,2018,1955,14374,974,1.0,3,53449,Slater Park,neighborhood
6806703764000,4125 Gladstonbury Rd,27104,Winston Salem,NC,36.107766,-80.329176,37067,SingleFamily,2018,1979,17424,1844,3.0,3,292998,New Sherwood Forest,neighborhood
6823355889000,1704 Greenfield St,27127,Winston Salem,NC,36.040062,-80.273186,37067,SingleFamily,2018,1964,20473,1428,1.5,3,129261,Winston-Salem,city
6808019181000,4208 Lochurst Dr,27040,Pfafftown,NC,36.163485,-80.351728,37067,SingleFamily,2018,2014,12806,2801,3.0,4,259207,Winston-Salem,city
6807098332000,4372 Lochurst Dr,27040,Pfafftown,NC,36.158524,-80.352129,37067,SingleFamily,2018,2014,9147,3012,2.5,3,254229,Winston-Salem,city
5896254067000,1400 Allgood Rd,27106,Winston Salem,NC,36.119087,-80.379767,37067,SingleFamily,2018,1953,48351,720,1.0,2,51004,Winston-Salem,city
6816905516000,621 Nokomis Ct,27106,Winston Salem,NC,36.107693,-80.288044,37067,SingleFamily,2018,1962,13503,2227,3.0,5,426757,Buena Vista,neighborhood
6833245927000,4045 S Main St,27127,Winston Salem,NC,36.037855,-80.242961,37067,SingleFamily,2018,1932,21344,1060,1.0,3,,Union Ridge,neighborhood
6808786459000,2071 Mallard Lakes Dr,27106,Winston Salem,NC,36.183971,-80.329473,37067,SingleFamily,2018,1973,38768,2200,2.0,3,191454,Mallard Lakes,neighborhood
6838919340000,1525 Jordan Dr,27105,Winston Salem,NC,36.165359,-80.219744,37067,SingleFamily,2018,1957,20473,1149,1.0,3,82865,Winston-Salem,city
6838919340000,1525 Jordan Dr,27105,Winston Salem,NC,36.165359,-80.219744,37067,SingleFamily,2018,1957,20037,1149,1.0,3,82865,Winston-Salem,city
6843493749000,170 Dawnview Dr,27107,Winston Salem,NC,36.051427,-80.203191,37067,SingleFamily,2018,1956,36590,1044,1.0,3,115362,Winston-Salem,city
6844009919000,1029 Louise Rd,27107,Winston Salem,NC,36.05469,-80.214811,37067,SingleFamily,2018,1949,7840,750,1.0,2,23076,Easton,neighborhood
6823189003000,1936 Shillington Dr,27127,Winston Salem,NC,36.045901,-80.278963,37067,SingleFamily,2018,2010,6098,2430,2.5,4,191283,Winding Woods,neighborhood
6805551452000,521 Lynhaven Ct,27104,Winston Salem,NC,36.09305,-80.336425,37067,SingleFamily,2018,1995,54450,2445,2.5,3,327635,Peace Haven,neighborhood
6814392841000,3326 Arlington Dr,27103,Winston Salem,NC,36.077918,-80.30879,37067,SingleFamily,2018,1948,13068,1062,2.0,3,132035,Old Vineyard,neighborhood
6812647157000,2471 Joshua Ln,27127,Winston Salem,NC,36.007625,-80.295794,37067,SingleFamily,2018,2003,9583,1614,2.0,3,177120,Winston-Salem,city
6832536155000,124 Fishel Rd,27107,Winston Salem,NC,36.00546,-80.231816,37067,SingleFamily,2018,1956,44866,1800,3.0,3,142269,Winston-Salem,city
6806915064000,1200 Strathmore Cir,27104,Winston Salem,NC,36.108646,-80.321727,37067,SingleFamily,2018,1955,17860,1350,2.0,3,182134,Forestdale,neighborhood
