REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6826206055000,545 Oaklawn Ave,27104,Winston Salem,NC,36.1064,-80.277408,37067,SingleFamily,2018,1924,15681,2419,3.0,3,548338,Buena Vista,neighborhood
6835117663000,528 Washington Ave,27101,Winston Salem,NC,36.083478,-80.246184,37067,SingleFamily,2018,1900,4791,2258,3.0,3,189630,South Marshall,neighborhood
6836468217000,2707 Patrick Ave,27105,Winston Salem,NC,36.123899,-80.2365,37067,SingleFamily,2018,1946,7405,816,1.0,2,28596,Glenn Avenue,neighborhood
6826128860000,2326 Robinhood Rd,27104,Winston Salem,NC,36.113931,-80.280176,37067,SingleFamily,2018,1930,23958,4337,5.5,5,956634,Buena Vista,neighborhood
6835863712000,223 N Graham Ave,27101,Winston Salem,NC,36.097779,-80.224278,37067,SingleFamily,2018,1953,6534,1018,1.0,2,32863,East Winston,neighborhood
6836927173000,2122 E 14th St,27105,Winston Salem,NC,36.112698,-80.21948,37067,SingleFamily,2018,1942,6534,804,1.0,2,21378,Slater Park,neighborhood
6837691436000,703 Essex Rd,27105,Winston Salem,NC,36.160162,-80.232655,37067,SingleFamily,2018,1948,16117,441,2.0,2,52310,Mineral Springs,neighborhood
6844137946000,2701 Peachtree St,27107,Winston Salem,NC,36.062859,-80.212122,37067,SingleFamily,2018,1952,7405,815,1.0,2,30098,Waughtown,neighborhood
6844260916000,1317 Verdun St,27107,Winston Salem,NC,36.07112,-80.211314,37067,SingleFamily,2018,1940,6969,984,1.0,2,34339,Forest Park,neighborhood
6835018607000,724 S Green St,27101,Winston Salem,NC,36.08366,-80.249464,37067,SingleFamily,2018,1920,7405,1524,2.0,3,117168,West Salem,neighborhood
6834215941000,3027 Konnoak Dr,27127,Winston Salem,NC,36.056918,-80.243114,37067,SingleFamily,2018,1947,10890,1140,1.0,2,91978,Konnoak,neighborhood
6826754317000,2517 Kirkwood St,27105,Winston Salem,NC,36.121181,-80.261577,37067,SingleFamily,2018,1946,4791,750,1.0,2,23770,Boston Thurmon,neighborhood
6837401587000,444 Sherbrooke Dr,27105,Winston Salem,NC,36.135663,-80.238809,37067,SingleFamily,2018,1925,21780,1191,1.5,2,36307,Montview,neighborhood
6844116636000,1123 Charles St,27107,Winston Salem,NC,36.056497,-80.212481,37067,SingleFamily,2018,1930,15246,740,1.0,2,24683,Easton,neighborhood
6844057423000,2318 Sink St,27107,Winston Salem,NC,36.066871,-80.215627,37067,SingleFamily,2018,1938,8276,1055,1.0,2,42733,Waughtown,neighborhood
6825298206000,418 N Stratford Rd,27104,Winston Salem,NC,36.104223,-80.276857,37067,SingleFamily,2018,1988,16117,3500,3.0,4,711957,Buena Vista,neighborhood
6844438189000,2514 Waterbury St,27107,Winston Salem,NC,36.060864,-80.201481,37067,SingleFamily,2018,1953,9147,832,1.0,2,32786,Waughtown,neighborhood
6815892975000,457 Sheffield Dr,27104,Winston Salem,NC,36.105985,-80.292226,37067,SingleFamily,2018,1953,23522,2088,4.5,4,451503,Buena Vista,neighborhood
6844235337000,1324 Houston St,27107,Winston Salem,NC,36.061259,-80.20966,37067,SingleFamily,2018,1928,25700,1008,1.5,2,36196,Waughtown,neighborhood
6825432000000,2090 Craig St,27103,Winston Salem,NC,36.087089,-80.271876,37067,SingleFamily,2018,1929,7840,1443,1.0,2,206308,Ardmore,neighborhood
