REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6822999994000,1323 Lighthouse Ln,27127,Winston Salem,NC,36.02397,-80.251309,37067,SingleFamily,2018,2004,6969,1288,2.0,3,153305,Winston-Salem,city
6845546374000,1195 Reynolds Manor Dr,27107,Winston Salem,NC,36.091502,-80.199236,37067,SingleFamily,2018,1997,13068,1184,2.0,3,137391,Reynolds Manor,neighborhood
6818503617000,4958 Pinewood Dr,27106,Winston Salem,NC,36.162801,-80.303159,37067,SingleFamily,2018,1960,25264,1026,1.0,3,92585,Poman Acres,neighborhood
6813916052000,4184 Kennison Village Dr,27127,Winston Salem,NC,36.026542,-80.286312,37067,SingleFamily,2018,2004,22651,1150,2.0,3,138989,Janita Lakes Estates,neighborhood
6835993036000,2014 Temple St,27101,Winston Salem,NC,36.104288,-80.220881,37067,SingleFamily,2018,1940,8276,760,1.0,2,21807,Reynoldstown,neighborhood
6832783657000,322 Kendall Dr,27107,Winston Salem,NC,36.020695,-80.226298,37067,SingleFamily,2018,2015,10890,2007,2.5,3,,Winston-Salem,city
5894787951000,398 Ivy Park Ln,27104,Winston Salem,NC,36.074904,-80.361165,37067,SingleFamily,2018,2003,9147,3464,3.0,4,273687,Winston-Salem,city
6838505012000,605 Voss St,27105,Winston Salem,NC,36.161706,-80.234712,37067,SingleFamily,2018,1938,6969,902,1.0,3,39194,Mineral Springs,neighborhood
5895256732000,6025 Lura Rd,27104,Winston Salem,NC,36.093413,-80.378783,37067,SingleFamily,2018,1979,20473,1468,1.0,2,121442,Winston-Salem,city
6832730182000,5035 Mount Hope Dr,27107,Winston Salem,NC,36.005426,-80.227017,37067,SingleFamily,2018,2014,9583,2060,3.0,4,179739,Winston-Salem,city
6816579773000,2126 Polo Rd,27106,Winston Salem,NC,36.12726,-80.300345,37067,MultiFamily2To4,2018,1953,11325,1110,1.0,2,98286,Hope Valley,neighborhood
5896485620000,5707 Windworth Dr,27106,Winston Salem,NC,36.128853,-80.373036,37067,SingleFamily,2018,1985,23958,1848,2.0,3,184658,Winston-Salem,city
6854262290000,2953 Poinsetta Dr,27107,Winston Salem,NC,36.069349,-80.176513,37067,SingleFamily,2018,1993,23522,1330,2.0,3,144788,Stewart Gardens,neighborhood
6823101116000,1883 Woodstone Dr,27127,Winston Salem,NC,36.024265,-80.281292,37067,SingleFamily,2018,2011,10454,2496,2.5,4,,Winston-Salem,city
6818477376000,2110 Sallies Ln,27106,Winston Salem,NC,36.181115,-80.305306,37067,SingleFamily,2018,1965,22215,2057,2.0,3,163347,Moravian Forest,neighborhood
6833493800000,110 E Harson St,27127,Winston Salem,NC,36.051181,-80.23715,37067,SingleFamily,2018,1950,13939,2027,1.5,4,130788,Konnoak,neighborhood
6865117514000,213 Williamsgate Ct,27107,Winston Salem,NC,36.084323,-80.144853,37067,SingleFamily,2018,2000,6534,1246,2.0,3,134390,Winston-Salem,city
6836024934000,1440 Clark Ave,27105,Winston Salem,NC,36.114665,-80.251196,37067,SingleFamily,2018,1989,11761,1225,1.5,3,95017,Kimberly Gateway Commons,neighborhood
6847652157000,4324 Orchid Dr,27105,Winston Salem,NC,36.148717,-80.198123,37067,SingleFamily,2018,1971,11325,1036,1.5,4,75257,Jefferson Gardens,neighborhood
6805405707000,4742 Country Club Rd,27104,Winston Salem,NC,36.080272,-80.338425,37067,SingleFamily,2018,1960,36590,1304,2.0,2,138257,South Peace Haven,neighborhood
6816958303000,1216 Ashburton Ln,27106,Winston Salem,NC,36.120795,-80.287293,37067,SingleFamily,2018,1951,30927,2642,4.0,4,456623,Reynolda,neighborhood
6805786337000,4810 Welwyn Rd,27104,Winston Salem,NC,36.101276,-80.328162,37067,SingleFamily,2018,1969,20473,1825,2.0,3,189167,Colony West,neighborhood
5896712843000,825 Meadowlark Dr,27106,Winston Salem,NC,36.110327,-80.3636,37067,SingleFamily,2018,1974,19166,1880,2.0,3,156478,Winston-Salem,city
6822090425000,2025 Paragon Dr,27127,Winston Salem,NC,36.022282,-80.284988,37067,SingleFamily,2018,2006,6969,2260,3.0,4,185832,Winston-Salem,city
6865119751000,415 Corbin St,27107,Winston Salem,NC,36.084815,-80.144045,37067,SingleFamily,2018,1997,9583,1206,2.0,3,143975,Winston-Salem,city
6855809431000,212 Water Lily Cir,27107,Winston Salem,NC,36.081219,-80.154223,37067,SingleFamily,2018,2007,6534,2268,3.0,4,207412,Winston-Salem,city
6822287565000,1721 Swing Dr,27127,Winston Salem,NC,36.019884,-80.275676,37067,SingleFamily,2018,1957,20473,1392,2.0,3,131858,Winston-Salem,city
6844588507000,1841 Flatrock St,27107,Winston Salem,NC,36.075675,-80.198589,37067,SingleFamily,2018,1992,9147,1140,2.0,3,83606,Flat Rock,neighborhood
6847015127000,3619 Barkwood Dr,27105,Winston Salem,NC,36.137515,-80.217423,37067,SingleFamily,2018,1968,15246,1431,1.5,3,95226,Northwoods Estate,neighborhood
6818167132000,4815 Miller Rd,27106,Winston Salem,NC,36.177685,-80.3155,37067,SingleFamily,2018,2013,16552,960,1.5,3,,Winston-Salem,city
6807852638000,141 Wing Haven Cir,27106,Winston Salem,NC,36.148825,-80.326893,37067,SingleFamily,2018,1999,30927,4200,5.0,5,560144,Greenbrier Farms,neighborhood
6833905526000,514 Salem Springs Dr,27107,Winston Salem,NC,36.025982,-80.219077,37067,SingleFamily,2018,2017,7405,1872,3.0,3,168579,Winston-Salem,city
6847578264000,4625 Oak Ridge Dr,27105,Winston Salem,NC,36.15441,-80.199546,37067,SingleFamily,2018,1946,13068,1505,2.0,2,50630,Jefferson Gardens,neighborhood
6829823062000,917 Rock Spring Dr,27105,Winston Salem,NC,36.194407,-80.259523,37067,SingleFamily,2018,1955,20037,1332,2.0,3,118604,Plantation Homes,neighborhood
5897589606000,3576 Community Church Rd,27040,Pfafftown,NC,36.15654,-80.368842,37067,SingleFamily,2018,1971,21780,2040,3.0,4,231127,Winston-Salem,city
6817130698000,3801 Tangle Ln,27106,Winston Salem,NC,36.143386,-80.317128,37067,SingleFamily,2018,1967,29185,1896,2.0,3,187985,Town and Country Estates,neighborhood
6854171160000,2931 Broadbay Dr,27107,Winston Salem,NC,36.071815,-80.180372,37067,SingleFamily,2018,1965,20473,1242,1.0,3,93825,Stewart Gardens,neighborhood
6816165181000,1240 Greenvalley Rd,27106,Winston Salem,NC,36.122677,-80.315143,37067,SingleFamily,2018,1967,23086,2176,3.0,4,212684,Foxhall,neighborhood
6818241920000,4655 Shattalon Cir,27106,Winston Salem,NC,36.17428,-80.314139,37067,SingleFamily,2018,1955,62726,1519,1.0,3,125096,Shattalon Heights,neighborhood
6825172017000,2412 Country Club Rd,27104,Winston Salem,NC,36.098152,-80.282163,37067,SingleFamily,2018,1959,23958,2320,3.0,4,360574,Country Club,neighborhood
6828926627000,112 Northoaks Ct,27105,Winston Salem,NC,36.168783,-80.254801,37067,SingleFamily,2018,2004,9147,1200,2.0,3,135827,Winston-Salem,city
6807665489000,4403 Erie Dr,27106,Winston Salem,NC,36.150983,-80.332631,,SingleFamily,2018,2018,10018,1826,3.0,4,197945,Winston-Salem,city
6807665489000,4403 Erie Dr,27106,Winston Salem,NC,36.150983,-80.332631,37067,SingleFamily,2018,2018,10018,1860,2.5,4,197945,Winston-Salem,city
6843003567000,4291 Salem Springs Ct,27107,Winston Salem,NC,36.026021,-80.21619,37067,SingleFamily,2018,2017,12196,2071,2.5,4,169654,Winston-Salem,city
6804639216000,2910 Stonekirk,27103,Winston Salem,NC,36.059778,-80.329904,37067,SingleFamily,2018,2001,13939,1974,2.5,3,224034,Atwood Acres,neighborhood
5897985730000,4515 Peter Pfaff Dr,27040,Pfafftown,NC,36.156796,-80.35641,37067,SingleFamily,2018,1999,25264,1816,2.5,3,220628,Lochhurst,neighborhood
6813667856000,3012 Bushfield Dr,27127,Winston Salem,NC,36.042492,-80.296315,37067,SingleFamily,2018,2014,8276,2007,3.0,4,186377,Winston-Salem,city
6805974964000,3730 Kirklees Rd,27104,Winston Salem,NC,36.100124,-80.321943,37067,SingleFamily,2018,1964,23958,1996,2.5,4,280515,Old Sherwood Forest,neighborhood
6804742078000,2865 Aztec Ct,27103,Winston Salem,NC,36.061957,-80.32875,37067,SingleFamily,2018,1972,12197,1185,1.5,3,89472,Atwood Acres,neighborhood
6829239798000,5754 Stanleyville Dr,27105,Winston Salem,NC,36.199113,-80.27778,37067,SingleFamily,2018,1986,169012,2574,3.0,3,,Winston-Salem,city
6823087578000,296 Cedar Ridge Cir,27127,Winston Salem,NC,36.047355,-80.282835,37067,SingleFamily,2018,2000,9583,1192,2.0,3,134290,Cross Winds,neighborhood
6865113592000,225 Townsend Ridge Dr,27107,Winston Salem,NC,36.084246,-80.145934,37067,SingleFamily,2018,1999,16117,1184,2.0,3,139596,Winston-Salem,city
6814933170000,2123 Leeds Ln,27103,Winston Salem,NC,36.059719,-80.287761,37067,SingleFamily,2018,1966,14810,1366,2.5,4,171390,British Woods,neighborhood
6807205633000,4105 Cherrylaurel Ln,27106,Winston Salem,NC,36.134744,-80.345964,37067,SingleFamily,2018,1992,15681,3846,5.0,4,419131,Brownstone,neighborhood
6855920032000,112 Sedge Meadow Dr,27107,Winston Salem,NC,36.085566,-80.153923,37067,SingleFamily,2018,2000,12632,1366,2.5,3,169866,Winston-Salem,city
6812429451000,4612 Center Rock Ct,27127,Winston Salem,NC,36.002748,-80.301771,37067,SingleFamily,2018,2006,10018,1909,3.0,4,234172,Winston-Salem,city
6823954954000,2515 Fiddlers Glenn Dr,27127,Winston Salem,NC,36.040452,-80.253338,37067,SingleFamily,2018,2007,6098,2400,2.5,4,238164,Winston-Salem,city
6834810034000,718 Bryson St,27107,Winston Salem,NC,36.054724,-80.224557,37067,SingleFamily,2018,1958,5662,800,1.0,2,28096,Easton,neighborhood
6845880017000,215 Stedman St,27101,Winston Salem,NC,36.101857,-80.191613,37067,SingleFamily,2018,1952,15246,1382,1.5,3,,Winston-Salem,city
6829917520000,1113 Twin Oak Dr,27105,Winston Salem,NC,36.193024,-80.254799,37067,SingleFamily,2018,1959,30492,1618,2.0,3,134685,Pinebrook Country Club,neighborhood
6849136141000,3057 Mountain Brook Trl,27105,Winston Salem,NC,36.197851,-80.214505,37067,Mobile,2018,1998,20037,2052,2.0,3,20497,Walkertown,city
6863799452000,6120 Hickory Creek Rd,27107,Winston Salem,NC,36.051235,-80.123234,37067,SingleFamily,2018,1996,20037,1716,2.0,3,192739,Winston-Salem,city
5893329058000,4435 Greenfield Way Dr,27103,Winston Salem,NC,36.02852,-80.373251,37067,SingleFamily,2018,1995,10454,2219,2.5,3,230906,Clemmons,city
6805177034000,5233 Mountain View Rd,27104,Winston Salem,NC,36.097297,-80.348055,37067,SingleFamily,2018,1952,55756,1560,2.0,4,237900,Cedar View,neighborhood
6816680951000,240 Miller Pointe Dr,27106,Winston Salem,NC,36.130498,-80.300108,37067,SingleFamily,2018,2000,2178,1262,2.0,2,158259,West Polo Road,neighborhood
6807645130000,3731 Burbank Ln,27106,Winston Salem,NC,36.144427,-80.33263,37067,SingleFamily,2018,2003,20908,2875,4.0,4,446764,Forsyth Forest,neighborhood
6864389905000,4102 Fiddlers Way Ct,27107,Winston Salem,NC,36.077285,-80.13731,37067,SingleFamily,2018,2003,21344,2012,2.5,4,187229,Winston-Salem,city
6825902038000,973 Hutton St,27101,Winston Salem,NC,36.079255,-80.254714,37067,SingleFamily,2018,1953,7405,912,1.0,2,39667,West Salem,neighborhood
6822653477000,3986 Village Park Ct,27127,Winston Salem,NC,36.011546,-80.263309,37067,Condominium,2018,2005,1742,1152,2.5,3,117768,Winston-Salem,city
6864974642000,612 Nottinghill Dr,27107,Winston Salem,NC,36.073839,-80.118527,37067,SingleFamily,2018,1993,20473,1644,2.0,3,192208,Winston-Salem,city
6823350042000,1617 Quillmark Rd,27127,Winston Salem,NC,36.037684,-80.274983,37067,SingleFamily,2018,1992,14810,1478,2.0,3,139952,Carriage Cove,neighborhood
5895912243000,216 Heatherton Way,27104,Winston Salem,NC,36.081332,-80.356218,37067,SingleFamily,2018,1984,18295,4168,5.0,4,364987,Huntcliff,neighborhood
6818529428000,2211 Independence Rd,27106,Winston Salem,NC,36.16777,-80.301182,37067,SingleFamily,2018,1963,27442,2017,2.5,4,152441,Colonial Estates,neighborhood
6838022228000,235 Azalea Dr,27105,Winston Salem,NC,36.167718,-80.252729,37067,SingleFamily,2018,2015,6969,1890,2.5,3,154842,Winston-Salem,city
6823946620000,1130 Folkstone Ridge Ln,27127,Winston Salem,NC,36.036729,-80.252724,37067,SingleFamily,2018,2006,9583,1725,2.0,4,189092,Kingstree,neighborhood
