REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
5898818253000,4634 Pebble Lake Dr,27040,Pfafftown,NC,36.163725,-80.358924,37067,SingleFamily,2018,2005,13503,3090,3.0,4,338806,Lochhurst,neighborhood
6847674130000,270 Northwoods Cir,27105,Winston Salem,NC,36.154038,-80.1976,37067,SingleFamily,2018,1950,17859,630,1.0,1,30590,Jefferson Gardens,neighborhood
6838441284000,5641 Racin Dr,27105,Winston Salem,NC,36.173259,-80.239285,37067,SingleFamily,2018,1958,422532,1000,1.0,4,117719,Winston-Salem,city
6804839489000,2940 Carrollwood Dr,27103,Winston Salem,NC,36.060153,-80.322794,37067,SingleFamily,2018,1986,21344,1867,3.5,3,215124,Atwood Acres,neighborhood
6804839489000,2940 Carrollwood Dr,27103,Winston Salem,NC,36.060153,-80.322794,37067,SingleFamily,2018,1986,20908,1867,3.5,3,215124,Atwood Acres,neighborhood
6807623461000,4205 Sunnydell Dr,27106,Winston Salem,NC,36.139791,-80.333116,37067,SingleFamily,2018,1971,21344,2768,2.0,4,239189,Forsyth Forest,neighborhood
6846364757000,2625 Fondly Rd,27105,Winston Salem,NC,36.125564,-80.207265,37067,SingleFamily,2018,1959,10454,950,1.0,3,37036,Castle Heights,neighborhood
6837193658000,45 Arita Cir,27105,Winston Salem,NC,36.160582,-80.248763,37067,SingleFamily,2018,1959,29185,1196,1.5,3,100548,Mineral Springs,neighborhood
6808917611000,3793 Hartford St,27106,Winston Salem,NC,36.165158,-80.322152,37067,SingleFamily,2018,1969,10454,1102,1.5,3,97106,Georgetown,neighborhood
6816572155000,2432 Polo Rd,27106,Winston Salem,NC,36.125645,-80.302707,37067,SingleFamily,2018,1922,59241,1785,1.0,3,,Merrimont Hills,neighborhood
6815029220000,318 New Home St,27104,Winston Salem,NC,36.08439,-80.316748,37067,SingleFamily,2018,1959,20037,1350,1.5,2,136365,South Fork,neighborhood
6816025949000,3446 Scarsborough Dr,27104,Winston Salem,NC,36.114065,-80.318496,37067,SingleFamily,2018,1979,11761,3337,4.0,5,332371,New Forestdale,neighborhood
