REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6834749027000,708 Aureole St,27107,Winston Salem,NC,36.063037,-80.225046,37067,SingleFamily,2018,1930,3920,984,1.0,2,29160,Belview,neighborhood
6822196947000,1826 Woodstone Dr,27127,Winston Salem,NC,36.023741,-80.279523,37067,Condominium,2018,2010,11761,2242,3.0,3,190062,Winston-Salem,city
5895749248000,146 Westmont Dr,27104,Winston Salem,NC,36.089651,-80.360786,37067,SingleFamily,2018,1998,9147,1074,2.0,2,125698,Stonebridge,neighborhood
6843877631000,3097 Glen Laurel Ln,27107,Winston Salem,NC,36.045673,-80.188212,37067,SingleFamily,2018,2003,12196,1755,2.0,3,160773,Winston-Salem,city
6802429511000,4436 Cooper Rd,27127,Winston Salem,NC,36.002605,-80.335686,37067,SingleFamily,2018,1979,24829,1578,2.0,3,180961,Winston-Salem,city
6826044942000,906 Marguerite Dr,27106,Winston Salem,NC,36.119662,-80.285219,37067,SingleFamily,2018,1953,24829,1788,2.0,3,285455,Reynolda,neighborhood
6856178449000,4324 Morning Ridge Ln,27101,Winston Salem,NC,36.127922,-80.178813,37067,SingleFamily,2018,2007,12632,2100,2.5,4,178548,Winston-Salem,city
6806801375000,1047 N Peace Haven Rd,27104,Winston Salem,NC,36.106729,-80.326469,37067,SingleFamily,2018,1953,20473,2395,3.0,3,235370,Old Sherwood Forest,neighborhood
6805780711000,729 N Peace Haven Rd,27104,Winston Salem,NC,36.102118,-80.330298,37067,SingleFamily,2018,1978,21780,2289,2.0,3,237142,Colony West,neighborhood
6847451258000,4414 Joseph Samuels Dr,27105,Winston Salem,NC,36.148984,-80.205239,37067,SingleFamily,2018,2005,9147,1879,2.5,3,148962,Northampton,neighborhood
6847229878000,5031 Butterfield Dr,27105,Winston Salem,NC,36.142347,-80.209146,37067,SingleFamily,2018,1957,37897,1125,2.0,2,104531,Old Carver,neighborhood
6833053964000,2598 Fiddlers Glenn Dr,27127,Winston Salem,NC,36.040486,-80.250278,37067,SingleFamily,2018,2008,6969,2288,3.0,3,210928,Union Ridge,neighborhood
6806653064000,141 Carol Rd,27106,Winston Salem,NC,36.119887,-80.332669,37067,SingleFamily,2018,1973,49658,1300,2.0,3,172929,Winston-Salem,city
6837963331000,4432 Lane St,27105,Winston Salem,NC,36.151645,-80.221787,37067,SingleFamily,2018,1930,20037,1254,1.0,3,54454,Ogburn Station,neighborhood
6805160092000,357 Natalie Dr,27104,Winston Salem,NC,36.094552,-80.350157,37067,SingleFamily,2018,2010,16117,3123,3.0,3,332726,Rollinghills,neighborhood
6847122273000,3865 Draper St,27105,Winston Salem,NC,36.140522,-80.214921,37067,SingleFamily,2018,1999,11761,1776,2.0,3,145826,Northwoods Estate,neighborhood
6808111654000,4365 Wedge Dr,27040,Pfafftown,NC,36.164929,-80.351144,37067,SingleFamily,2018,2015,9147,2886,2.5,4,259559,Winston-Salem,city
6843174150000,3809 Learwood Cir,27107,Winston Salem,NC,36.043978,-80.212809,37067,Mobile,2018,2000,40510,1944,2.0,3,117115,Kimball Acres,neighborhood
6828535355000,133 Barlow Cir,27105,Winston Salem,NC,36.170494,-80.268599,37067,SingleFamily,2018,1961,20473,1040,1.0,2,93294,Hunter Hills,neighborhood
6807147357000,4055 Stillwell Dr,27106,Winston Salem,NC,36.144998,-80.348802,37067,SingleFamily,2018,1973,31798,2566,3.0,3,155454,Shattalon Lake Estates,neighborhood
6845005813000,1331 Calvert Dr,27107,Winston Salem,NC,36.081679,-80.216584,37067,SingleFamily,2018,1960,12632,975,1.0,3,80655,Morningside Manor,neighborhood
6833271009000,3694 Emma Ave,27127,Winston Salem,NC,36.043731,-80.244441,37067,SingleFamily,2018,1954,18295,1325,2.0,4,105316,Union Ridge,neighborhood
6807734515000,3900 Rosebriar Ln,27106,Winston Salem,NC,36.142949,-80.329569,37067,SingleFamily,2018,2000,17424,3569,4.0,4,434885,Winston-Salem,city
6845493040000,3055 Apollo Dr,27101,Winston Salem,NC,36.104262,-80.203935,37067,SingleFamily,2018,1970,16117,1323,1.5,4,84253,City View,neighborhood
6803693850000,2296 Ashford Dr,27103,Winston Salem,NC,36.050204,-80.331656,37067,SingleFamily,2018,1990,16988,2532,3.5,4,303352,Ashford,neighborhood
6813764314000,3104 Asheton Grove Ct,27127,Winston Salem,NC,36.041134,-80.294131,37067,SingleFamily,2018,2005,7840,1732,2.5,3,162577,Winston-Salem,city
6805898350000,3831 Derbyshire Rd,27104,Winston Salem,NC,36.103836,-80.324208,37067,SingleFamily,2018,1965,23958,2938,3.0,4,313531,Old Sherwood Forest,neighborhood
5895338182000,5792 Top Ct,27104,Winston Salem,NC,36.086204,-80.374468,37067,SingleFamily,2018,1983,41382,2371,3.0,3,212698,Winston-Salem,city
6864652205000,6141 Parnell Rd,27107,Winston Salem,NC,36.067183,-80.129436,37067,SingleFamily,2018,1970,20037,1456,2.0,3,163967,Winston-Salem,city
6823169366000,1828 Swaim Rd,27127,Winston Salem,NC,36.041292,-80.278675,37067,SingleFamily,2018,1995,20473,1780,2.5,3,177612,Winston-Salem,city
6836516405000,1236 Highland Ave,27101,Winston Salem,NC,36.110692,-80.233614,37067,SingleFamily,2018,1971,15246,1031,1.5,3,75984,East Winston,neighborhood
6838754012000,5569 Pineview Dr,27105,Winston Salem,NC,36.175492,-80.228803,37067,SingleFamily,2018,1937,44431,922,1.0,2,,Winston-Salem,city
6814989140000,2643 Cherokee Ln,27103,Winston Salem,NC,36.073421,-80.286067,37067,SingleFamily,2018,1956,16988,1352,1.5,3,144056,Ardmore,neighborhood
6827259037000,1009 Ranch Dr,27106,Winston Salem,NC,36.147638,-80.277102,37067,SingleFamily,2018,1973,20908,2500,3.0,4,191429,Brookwood,neighborhood
6847015611000,3791 Barkwood Dr,27105,Winston Salem,NC,36.138769,-80.21743,37067,SingleFamily,2018,1967,10890,1329,1.5,3,91741,Northwoods Estate,neighborhood
6807584979000,3840 Velinda Dr,27106,Winston Salem,NC,36.157778,-80.336416,37067,SingleFamily,2018,1999,13939,1714,2.0,3,205617,Cedar Forest,neighborhood
6805459126000,530 Lynhaven Ct,27104,Winston Salem,NC,36.092363,-80.337171,37067,SingleFamily,2018,1994,14810,1787,2.0,3,234878,Peace Haven,neighborhood
6855907774000,3869 Robbins Brook Dr,27107,Winston Salem,NC,36.082096,-80.151386,37067,SingleFamily,2018,2017,8712,1726,2.0,3,179068,Winston-Salem,city
6816812665000,3005 Buena Vista Rd,27106,Winston Salem,NC,36.110635,-80.292336,37067,SingleFamily,2018,1969,19602,3600,3.0,5,512507,Buena Vista,neighborhood
