REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6846832492000,1546 Harvest Dr,27101,Winston Salem,NC,36.116534,-80.190758,37067,SingleFamily,2018,1961,20037,1988,2.0,3,125720,Winston-Salem,city
5897998297000,4408 Lochurst Dr,27040,Pfafftown,NC,36.158358,-80.355357,37067,SingleFamily,2018,1991,18295,2842,2.5,4,317391,Lochhurst,neighborhood
6806427146000,1304 Hunterswood Dr,27104,Winston Salem,NC,36.111572,-80.33813,37067,SingleFamily,2018,1988,17859,4653,5.5,5,742107,New Sherwood Forest,neighborhood
6856048263000,303 Grover St,27101,Winston Salem,NC,36.118816,-80.182063,37067,SingleFamily,2018,1957,21344,1440,1.0,3,116082,Winston-Salem,city
6805402172000,4744 Randall St,27104,Winston Salem,NC,36.078462,-80.339155,37067,SingleFamily,2018,1957,22215,1786,2.0,4,164397,South Peace Haven,neighborhood
6864677823000,4437 Ansley Dr,27107,Winston Salem,NC,36.074326,-80.127763,37067,SingleFamily,2018,1991,11325,1728,2.5,3,165618,Winston-Salem,city
6815039581000,130 Tucker Ave,27104,Winston Salem,NC,36.08802,-80.316907,37067,SingleFamily,2018,1925,16552,792,1.0,2,101051,South Fork,neighborhood
6833441203000,4142 Macarthur St,27107,Winston Salem,NC,36.035886,-80.237466,37067,SingleFamily,2018,2009,12632,1200,2.0,3,114420,Weston,neighborhood
6816409420000,747 Yorkshire Rd,27106,Winston Salem,NC,36.107107,-80.303571,37067,SingleFamily,2018,1959,27442,1705,3.0,4,293129,Buena Vista,neighborhood
6824077279000,1436 Revere Rd,27103,Winston Salem,NC,36.071317,-80.283186,37067,SingleFamily,2018,1951,8276,912,1.0,3,120883,Ardmore,neighborhood
6823388168000,2005 Highfield Park Dr,27127,Winston Salem,NC,36.046356,-80.27233,37067,SingleFamily,2018,1997,9583,1429,2.0,3,155063,Ardmore Village,neighborhood
5898906421000,4470 Pebble Lake Dr,27040,Pfafftown,NC,36.161467,-80.356332,37067,SingleFamily,2018,1994,23522,3064,3.0,4,354081,Lochhurst,neighborhood
6846894563000,3672 Beeson Dairy Rd,27105,Winston Salem,NC,36.133265,-80.190501,37067,SingleFamily,2018,1964,36590,2220,2.0,3,170781,Spanish Pines,neighborhood
6863796955000,3220 Stacy Ct,27107,Winston Salem,NC,36.052721,-80.124276,37067,SingleFamily,2018,1996,29185,1570,2.0,3,180264,Winston-Salem,city
6822934777000,387 Fishel Rd,27127,Winston Salem,NC,36.006871,-80.252708,37067,SingleFamily,2018,2014,115869,2645,2.5,3,361208,Winston-Salem,city
6816866186000,2841 Wesleyan Ln,27106,Winston Salem,NC,36.123041,-80.291119,37067,SingleFamily,2018,1957,14374,2204,2.0,3,254675,Reynolda,neighborhood
6815301611000,3218 Chelsea Village Cir,27103,Winston Salem,NC,36.080136,-80.309213,37067,SingleFamily,2018,2002,9583,1172,2.0,3,133763,Old Vineyard,neighborhood
6806411289000,1216 Cliffspring Ct,27104,Winston Salem,NC,36.109115,-80.339919,37067,SingleFamily,2018,1987,30927,3016,2.0,4,377517,New Sherwood Forest,neighborhood
5893689871000,409 Donny Brook Ct,27103,Winston Salem,NC,36.047125,-80.363332,37067,SingleFamily,2018,1999,21344,2689,2.0,3,263312,McGregor Downs,neighborhood
6823992286000,1560 Ethel Dr,27127,Winston Salem,NC,36.049498,-80.254065,37067,SingleFamily,2018,1985,21344,1226,2.0,3,134083,Konnoak,neighborhood
6824212009000,1611 Hawkcrest Ln,27127,Winston Salem,NC,36.054305,-80.278128,37067,SingleFamily,2018,2001,18730,1350,2.0,3,149791,Winston-Salem,city
6823888550000,1021 Linger Rd,27127,Winston Salem,NC,36.048054,-80.256225,37067,SingleFamily,2018,1964,35283,1636,2.0,2,133158,Konnoak,neighborhood
6823888550000,1021 Linger Rd,27127,Winston Salem,NC,36.048054,-80.256225,37067,SingleFamily,2018,1964,132858,1636,2.0,2,133158,Konnoak,neighborhood
6843166843000,1220 Morning Star Ln,27107,Winston Salem,NC,36.043255,-80.212162,37067,SingleFamily,2018,2006,50094,2114,3.0,4,208461,Kimball Acres,neighborhood
6847105851000,3715 Sawyer Dr,27105,Winston Salem,NC,36.13661,-80.213864,37067,SingleFamily,2018,1969,10018,1189,1.5,3,95690,Northwoods Estate,neighborhood
6847604498000,3650 New Walkertown Rd,27105,Winston Salem,NC,36.135865,-80.197172,37067,SingleFamily,2018,1998,81021,2774,2.0,3,214526,Ebony Hills,neighborhood
