REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6804249927000,4838 Sterling Brooke Ln,27103,Winston Salem,NC,36.064246,-80.343475,37067,SingleFamily,2018,2011,2613,1798,2.5,3,199757,Westbrook,neighborhood
6824280249000,2326 Cherokee Ln,27103,Winston Salem,NC,36.074164,-80.27897,37067,SingleFamily,2018,2017,11325,2332,2.5,4,,Ardmore,neighborhood
6803372148000,2800 Caraway Ln,27103,Winston Salem,NC,36.042864,-80.341927,37067,SingleFamily,2018,1983,76230,1056,2.0,3,150926,Huntington Woods,neighborhood
6865205663000,433 Troy Lndg,27107,Winston Salem,NC,36.081887,-80.141921,37067,SingleFamily,2018,2010,6098,1270,2.0,3,138522,Winston-Salem,city
6804423893000,204 Danby Dr,27103,Winston Salem,NC,36.058465,-80.338394,37067,SingleFamily,2018,1964,11761,975,2.0,4,130287,Salem Woods,neighborhood
6823909219000,1325 Bridgton Cape Ct,27127,Winston Salem,NC,36.02493,-80.251555,37067,SingleFamily,2018,2006,9147,1500,3.0,3,158380,South View,neighborhood
6816494109000,157 Linbrook Dr,27106,Winston Salem,NC,36.131233,-80.305747,37067,SingleFamily,2018,1979,23958,1400,2.0,2,107679,West Polo Road,neighborhood
6846782598000,3591 San Carlos Rd,27105,Winston Salem,NC,36.130641,-80.194323,37067,SingleFamily,2018,1984,23086,2238,2.0,3,188239,Spanish Pines,neighborhood
6826546889000,2645 Arbor Place Ct,27104,Winston Salem,NC,36.119802,-80.267357,37067,SingleFamily,2018,2008,12196,3615,4.5,4,719227,Winston-Salem,city
6816538008000,963 Kenleigh Cir,27106,Winston Salem,NC,36.114473,-80.300742,37067,SingleFamily,2018,1957,26571,4491,4.0,4,782059,Merrimont,neighborhood
6825363664000,1992 Runnymede Rd,27104,Winston Salem,NC,36.09704,-80.274854,37067,SingleFamily,2018,1930,83635,7550,5.5,5,1362197,West Highlands,neighborhood
6827326546000,982 Palm Dr,27106,Winston Salem,NC,36.140769,-80.274581,37067,SingleFamily,2018,2011,9147,1664,2.0,4,149473,Brookwood,neighborhood
6856164295000,3830 Stillmere Dr,27101,Winston Salem,NC,36.124416,-80.180017,37067,SingleFamily,2018,2002,6534,1516,2.0,3,161266,Winston-Salem,city
6823141754000,4046 Village Pl,27127,Winston Salem,NC,36.036811,-80.281361,37067,SingleFamily,2018,1978,13068,1232,2.0,3,124646,Caroline Village,neighborhood
6803320419000,2416 Stratford Crossing Dr,27103,Winston Salem,NC,36.029954,-80.342608,37067,SingleFamily,2018,2002,6969,1206,2.0,3,132017,Winston-Salem,city
6824368962000,2155 Silas Creek Pkwy,27103,Winston Salem,NC,36.070354,-80.272728,37067,SingleFamily,2018,1959,8712,984,1.0,3,134087,Ardmore,neighborhood
5896266872000,5820 Birchdale Dr,27106,Winston Salem,NC,36.123867,-80.37956,37067,SingleFamily,2018,2001,16988,2319,2.0,3,,Winston-Salem,city
5896266872000,5820 Birchdale Dr,27106,Winston Salem,NC,36.123867,-80.37956,37067,SingleFamily,2018,2001,89298,2319,2.0,3,,Winston-Salem,city
6847788276000,120 Huff Cir,27105,Winston Salem,NC,36.157284,-80.192797,37067,SingleFamily,2018,1957,40510,1200,1.0,3,96348,Jefferson Gardens,neighborhood
6835998270000,2117 New Walkertown Rd,27101,Winston Salem,NC,36.104675,-80.219078,37067,SingleFamily,2018,1951,5227,972,1.0,2,30486,Reynoldstown,neighborhood
6822692507000,3542 Cedar Post Rd,27127,Winston Salem,NC,36.02285,-80.264058,37067,SingleFamily,2018,1990,12632,1442,2.0,3,147756,Twin Cedars Laurel Park,neighborhood
6815302945000,3304 Chelsea Village Ct,27103,Winston Salem,NC,36.081096,-80.308798,37067,SingleFamily,2018,2003,5227,1172,2.0,3,141150,Old Vineyard,neighborhood
6845535785000,1120 Reynolds Manor Dr,27107,Winston Salem,NC,36.089873,-80.199513,37067,SingleFamily,2018,1996,11761,1063,2.0,3,125227,Reynolds Manor,neighborhood
6816111246000,790 Hertford Rd,27104,Winston Salem,NC,36.109322,-80.316374,37067,SingleFamily,2018,1955,20473,2573,3.0,3,287645,Old Sherwood Forest,neighborhood
6815463042000,105 Westhaven Cir,27104,Winston Salem,NC,36.09505,-80.305352,37067,SingleFamily,2018,2002,3484,4158,3.5,3,690875,Country Club,neighborhood
6853082323000,3141 Greene Cross Dr,27107,Winston Salem,NC,36.047671,-80.183259,37067,SingleFamily,2018,1991,20473,1288,2.5,3,165396,Winston-Salem,city
5894776942000,154 Charlotte Ct,27103,Winston Salem,NC,36.072155,-80.361497,37067,SingleFamily,2018,2001,5227,1458,2.0,3,178361,Winston-Salem,city
6823846326000,1021 Kingstree Ridge Dr,27127,Winston Salem,NC,36.036064,-80.25609,37067,SingleFamily,2018,1988,14810,2411,2.0,3,185500,Kingstree,neighborhood
6823107600000,1816 Morgan Trace Dr,27127,Winston Salem,NC,36.025476,-80.279295,37067,SingleFamily,2018,2014,16117,2231,2.5,4,188183,Winston-Salem,city
6817030669000,4350 Mill Creek Rd,27106,Winston Salem,NC,36.143414,-80.320642,37067,SingleFamily,2018,1970,12632,2436,2.5,4,196465,Town and Country Estates,neighborhood
6817144307000,4161 Briarcliffe Rd,27106,Winston Salem,NC,36.145354,-80.316133,37067,SingleFamily,2018,1967,16552,2352,3.0,4,244318,Town and Country Estates,neighborhood
6806614446000,3229 Cross Tree Rd,27106,Winston Salem,NC,36.109623,-80.332273,37067,SingleFamily,2018,1991,27007,2530,3.0,4,323841,New Sherwood Forest,neighborhood
6828918925000,308 Azalea Dr,27105,Winston Salem,NC,36.166804,-80.254074,37067,SingleFamily,2018,2014,10454,1767,2.5,4,154040,Winston-Salem,city
6847762423000,4212 Garden St,27105,Winston Salem,NC,36.152232,-80.194851,37067,SingleFamily,2018,1998,27442,2030,2.5,4,173389,Jefferson Gardens,neighborhood
6847762423000,4212 Garden St,27105,Winston Salem,NC,36.152232,-80.194851,37067,SingleFamily,2018,1956,17424,1800,1.0,3,173389,Jefferson Gardens,neighborhood
6846474358000,3324 New Walkertown Rd,27105,Winston Salem,NC,36.127269,-80.203891,37067,SingleFamily,2018,1963,10454,1242,1.5,3,90126,Cardinal Acres,neighborhood
6834187813000,60 Park Blvd,27127,Winston Salem,NC,36.075907,-80.246222,37067,SingleFamily,2018,1916,10164,3272,3.0,4,494200,Washington Park,neighborhood
6823231818000,1668 Guilford Dr,27127,Winston Salem,NC,36.034506,-80.278102,37067,SingleFamily,2018,1980,13068,1040,2.0,3,110523,Caroline Village,neighborhood
6864559655000,6100 Parnell Rd,27107,Winston Salem,NC,36.06829,-80.130282,37067,SingleFamily,2018,1973,20037,1683,1.5,3,171295,Winston-Salem,city
5895510327000,5654 Buckhorn Rd,27023,Winston Salem,NC,36.081533,-80.370516,37067,SingleFamily,2018,1978,28314,1748,2.0,3,174333,Winston-Salem,city
6816514863000,820 Kenwick Dr,27106,Winston Salem,NC,36.111071,-80.301772,37067,SingleFamily,2018,1959,16552,3147,3.0,4,395482,Buena Vista,neighborhood
6822044877000,2041 Saponi Village Ct,27127,Winston Salem,NC,36.009679,-80.283203,37067,SingleFamily,2018,1994,10018,1238,2.0,3,136387,Winston-Salem,city
6804533888000,111 Capistrano Dr,27103,Winston Salem,NC,36.061349,-80.335154,37067,SingleFamily,2018,1968,14374,1630,1.5,3,142049,Salem Woods,neighborhood
6817086077000,3424 Valley Rd,27106,Winston Salem,NC,36.155387,-80.31874,37067,SingleFamily,2018,1954,20908,1254,1.0,2,112139,Old Town Heights,neighborhood
6854779798000,3448 Tinley Park Dr,27107,Winston Salem,NC,36.073912,-80.157317,37067,SingleFamily,2018,2006,9147,1198,2.5,3,121113,Winston-Salem,city
6865214228000,326 Troy Lndg,27107,Winston Salem,NC,36.083631,-80.142445,37067,SingleFamily,2018,2004,5662,1021,2.0,3,117035,Winston-Salem,city
6808723713000,4863 Shattalon Dr,27106,Winston Salem,NC,36.168144,-80.330346,37067,SingleFamily,2018,1950,20037,1360,1.0,3,85267,Winston-Salem,city
6864569625000,4308 Oak Glen Dr,27107,Winston Salem,NC,36.071025,-80.130366,37067,SingleFamily,2018,1990,11325,1748,2.0,3,161357,Winston-Salem,city
6816510736000,852 Kenwick Dr,27106,Winston Salem,NC,36.110836,-80.303343,37067,SingleFamily,2018,1958,17424,3400,3.0,5,372134,Buena Vista,neighborhood
6832228341000,5060 Follansbee Rd,27127,Winston Salem,NC,36.00304,-80.24131,37067,SingleFamily,2018,2006,101930,3333,4.5,4,427473,Winston-Salem,city
6808314046000,4019 Fargo Dr,27106,Winston Salem,NC,36.163367,-80.343375,37067,SingleFamily,2018,1959,27878,1800,2.0,4,145867,Cedar Forest,neighborhood
6847293987000,5020 Monte Vista St,27105,Winston Salem,NC,36.161879,-80.211434,37067,SingleFamily,2018,1961,2613,1531,1.0,3,,Winston-Salem,city
6847293987000,5020 Monte Vista St,27105,Winston Salem,NC,36.161879,-80.211434,37067,SingleFamily,2018,1961,50965,1531,1.0,3,,Winston-Salem,city
6822184471000,4363 Eland Ct,27127,Winston Salem,NC,36.019437,-80.279992,37067,SingleFamily,2018,2012,10018,2138,1.5,2,218987,Winston-Salem,city
6864315554000,3110 Myrtle St,27107,Winston Salem,NC,36.056903,-80.138229,37067,SingleFamily,2018,1954,31798,1200,1.0,2,78930,Winston-Salem,city
6826560278000,2809 Gateshead Dr,27106,Winston Salem,NC,36.123581,-80.269485,37067,SingleFamily,2018,1979,49848,8504,5.0,4,1303773,Winston-Salem,city
6847449325000,4235 Oak Ridge Dr,27105,Winston Salem,NC,36.146425,-80.202613,37067,SingleFamily,2018,1971,10890,960,1.5,3,68360,Northampton,neighborhood
