REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
6812405306000,2612 Friedberg Church Rd,27127,Winston Salem,NC,35.997089,-80.303227,37067,SingleFamily,2018,1952,47916,1520,2.0,4,138292,Winston-Salem,city
6812405306000,2612 Friedberg Church Rd,27127,Winston Salem,NC,35.997089,-80.303227,37067,VacantResidentialLand,2018,1952,2002453,1520,2.0,0,138292,Winston-Salem,city
6846411059000,2575 Wallingford Rd,27101,Winston Salem,NC,36.110003,-80.204639,37067,SingleFamily,2018,1964,20037,1424,2.0,3,135666,Winston Lake Estates,neighborhood
6847511300000,3963 Cottington Dr,27105,Winston Salem,NC,36.138033,-80.201861,37067,SingleFamily,2018,1997,10018,2654,3.0,4,160163,Ebony Hills,neighborhood
6823925796000,4355 Fernbrook Dr,27127,Winston Salem,NC,36.031677,-80.252733,37067,SingleFamily,2018,2002,12632,1260,2.5,3,161100,South View,neighborhood
6813921755000,1958 Lake Dr,27127,Winston Salem,NC,36.03129,-80.288017,37067,SingleFamily,2018,1958,105850,1815,2.0,3,193256,Janita Lakes Estates,neighborhood
6809509249000,1924 Turfwood Dr,27040,Pfafftown,NC,36.188798,-80.335336,37067,SingleFamily,2018,1976,28314,1350,2.0,3,161187,Winston-Salem,city
6813879117000,3715 Ebert Rd,27127,Winston Salem,NC,36.043409,-80.28903,37067,SingleFamily,2018,1952,43124,1153,1.0,2,126462,Winston-Salem,city
6805658207000,271 Flintshire Rd,27104,Winston Salem,NC,36.092684,-80.330875,37067,SingleFamily,2018,1973,16552,3236,3.0,3,332295,Peace Haven,neighborhood
5896653422000,5180 Robinhood Rd,27106,Winston Salem,NC,36.120052,-80.366649,37067,SingleFamily,2018,1955,38332,2220,3.0,4,210609,Winston-Salem,city
6828923546000,355 Northoaks Dr,27105,Winston Salem,NC,36.168474,-80.255709,37067,SingleFamily,2018,2006,12632,1312,2.0,3,142613,Winston-Salem,city
