REID,street,zipcode,city,state,latitude,longitude,FIPScounty,useCode,taxAssessmentYear,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,zestimate,name,type
5894603064000,181 Wynbrook Ct,27103,Winston Salem,NC,36.050468,-80.36548,37067,SingleFamily,2018,2001,8276,1136,2.0,3,155677,Winston-Salem,city
6807836750000,125 Windrush Rd,27106,Winston Salem,NC,36.143374,-80.325454,37067,SingleFamily,2018,2000,14810,3298,4.0,4,409464,Greenbrier Farms,neighborhood
5897682923000,3504 Stimpson Dr,27040,Pfafftown,NC,36.157281,-80.367682,37067,SingleFamily,2018,1962,20037,1985,2.0,3,181450,Winston-Salem,city
6834756233000,618 Goldfloss St,27107,Winston Salem,NC,36.066227,-80.226067,37067,SingleFamily,2018,1920,7405,1043,1.0,2,29387,Belview,neighborhood
6829518196000,125 Reflection Ct,27105,Winston Salem,NC,36.191994,-80.267736,37067,SingleFamily,2018,2000,12196,1295,2.0,3,150629,Angel Oaks,neighborhood
6817410436000,645 Woodbriar Ct,27106,Winston Salem,NC,36.137442,-80.307076,37067,SingleFamily,2018,2001,9147,2177,3.0,3,244896,Winston-Salem,city
6848486698000,1661 Old Hollow Rd,27105,Winston Salem,NC,36.185773,-80.204397,37067,SingleFamily,2018,1951,248727,1735,2.0,3,106194,Walkertown,city
6813587721000,20 Luzelle Dr,27103,Winston Salem,NC,36.047568,-80.299934,37067,SingleFamily,2018,2006,10890,2910,4.0,5,251152,Winston-Salem,city
6822162182000,4801 Stony Creek Ln,27127,Winston Salem,NC,36.013098,-80.280532,37067,SingleFamily,2018,1995,10454,1793,2.5,3,161879,Winston-Salem,city
6847543998000,4315 N Jasmin Ct,27105,Winston Salem,NC,36.148174,-80.201039,37067,SingleFamily,2018,1971,23086,960,1.5,3,68795,Northampton,neighborhood
6846798906000,3641 Beeson Dairy Rd,27105,Winston Salem,NC,36.134469,-80.192696,37067,SingleFamily,2018,1956,27007,1440,1.0,2,115157,Winston-Salem,city
6818422683000,5093 Hutchins St,27106,Winston Salem,NC,36.168139,-80.306746,37067,SingleFamily,2018,1984,10454,864,1.0,2,89178,Poman Acres,neighborhood
6855527550000,138 Hartley St,27107,Winston Salem,NC,36.086741,-80.165069,37067,SingleFamily,2018,1974,19166,950,1.0,2,82401,Wintergreen,neighborhood
6812428157000,4757 Farm Bell Ct,27127,Winston Salem,NC,36.002085,-80.302118,37067,SingleFamily,2018,2005,9147,2084,3.0,4,216201,Winston-Salem,city
6822881511000,1460 Bridgton Rd,27127,Winston Salem,NC,36.019945,-80.257539,37067,SingleFamily,2018,1968,20473,1568,2.5,4,169421,Wilshire Estates,neighborhood
6822143336000,4850 Tutelo Trl,27127,Winston Salem,NC,36.008314,-80.28032,37067,SingleFamily,2018,1997,11325,1112,2.0,3,140303,Winston-Salem,city
6863193787000,3501 Maxton Trl,27107,Winston Salem,NC,36.051679,-80.145496,37067,SingleFamily,2018,1999,20908,1104,2.0,2,,Winston-Salem,city
6863193787000,3501 Maxton Trl,27107,Winston Salem,NC,36.051679,-80.145496,37067,Mobile,2018,1999,23958,1104,2.0,2,,Winston-Salem,city
6854499276000,3542 Thornaby Cir,27107,Winston Salem,NC,36.077846,-80.167553,37067,SingleFamily,2018,2003,6534,1622,2.0,3,151215,Winston-Salem,city
6828309146000,133 Blaze St,27105,Winston Salem,NC,36.161674,-80.273911,37067,SingleFamily,2018,1970,7840,925,1.5,2,56026,Cherryview,neighborhood
6844004545000,3313 Heitman Dr,27107,Winston Salem,NC,36.053447,-80.216356,37067,SingleFamily,2018,1948,8276,1050,1.0,4,27775,Easton,neighborhood
6809412649000,5732 Polaris Ct,27040,Pfafftown,NC,36.192646,-80.34118,37067,SingleFamily,2018,2003,27878,2020,2.0,3,206036,Winston-Salem,city
6855816505000,3760 Field Sedge Dr,27107,Winston Salem,NC,36.084272,-80.155389,37067,SingleFamily,2018,2003,9147,2635,3.0,4,216867,Winston-Salem,city
6824772556000,1400 Waybridge Ln,27103,Winston Salem,NC,36.072254,-80.261296,37067,SingleFamily,2018,1962,12632,1108,2.0,3,140557,Ardmore,neighborhood
6854843617000,3960 Magnolia Place Ln,27107,Winston Salem,NC,36.065376,-80.156118,37067,SingleFamily,2018,2001,56192,1982,2.0,3,244477,Winston-Salem,city
6854843617000,3960 Magnolia Place Ln,27107,Winston Salem,NC,36.065376,-80.156118,37067,SingleFamily,2018,1940,67082,1982,2.0,3,244477,Winston-Salem,city
5897575712000,5549 Folkstone Rd,27040,Pfafftown,NC,36.15397,-80.370111,37067,SingleFamily,2018,1988,31798,2148,2.5,3,236821,Winston-Salem,city
6827523030000,3660 Marlowe Ave,27106,Winston Salem,NC,36.139346,-80.268877,37067,SingleFamily,2018,1964,15681,1518,2.0,2,144315,Brookwood,neighborhood
6816291814000,1460 Ridgemere Ln,27106,Winston Salem,NC,36.132899,-80.313449,37067,SingleFamily,2018,1997,25700,5281,6.0,6,588432,Ridgemere,neighborhood
6837798829000,1248 Shouse Blvd,27105,Winston Salem,NC,36.161392,-80.226895,37067,SingleFamily,2018,1961,8276,840,1.0,2,35979,Northview,neighborhood
6854244156000,2738 Cole Rd,27107,Winston Salem,NC,36.063645,-80.175983,37067,SingleFamily,2018,1932,126324,1414,1.0,3,125178,Winston-Salem,city
6847756912000,4212 Northampton Dr,27105,Winston Salem,NC,36.150818,-80.193559,37067,SingleFamily,2018,1936,21780,970,1.0,2,62048,Jefferson Gardens,neighborhood
6818436117000,5117 Hutchins St,27106,Winston Salem,NC,36.169613,-80.305648,37067,SingleFamily,2018,1984,11761,1185,2.0,3,129994,Poman Acres,neighborhood
6817229353000,833 Ransom Rd,27106,Winston Salem,NC,36.139803,-80.310747,37067,SingleFamily,2018,1956,20037,1778,2.5,2,170939,Town and Country Estates,neighborhood
6854460450000,180 Hines Dr,27107,Winston Salem,NC,36.069949,-80.170526,37067,SingleFamily,2018,2006,14374,1065,2.0,3,118155,Winston-Salem,city
6847458359000,4452 Oak Ridge Dr,27105,Winston Salem,NC,36.149318,-80.202868,37067,SingleFamily,2018,1992,12632,1186,2.0,3,118543,Northampton,neighborhood
5893274453000,2944 Hopewood Ln,27103,Winston Salem,NC,36.043186,-80.378575,37067,SingleFamily,2018,1978,24393,1542,2.0,2,71556,Clemmons,city
6808130218000,3620 Grandview Club Rd,27040,Pfafftown,NC,36.169427,-80.351714,37067,SingleFamily,2018,1965,25700,2144,2.0,3,202200,Winston-Salem,city
6824843474000,1045 Cloister Dr,27127,Winston Salem,NC,36.063739,-80.257376,37067,SingleFamily,2018,1955,18730,1000,1.0,3,86698,Konnoak,neighborhood
6823474347000,2094 Ardmore Ct,27127,Winston Salem,NC,36.04416,-80.270322,37067,SingleFamily,2018,2008,34848,2405,2.0,3,251911,Winston-Salem,city
6856175215000,3961 Creekmoore Dr,27101,Winston Salem,NC,36.127181,-80.180012,37067,SingleFamily,2018,2007,6098,1300,2.0,3,133649,Winston-Salem,city
6817116464000,2537 Deercreek Dr,27106,Winston Salem,NC,36.137016,-80.315163,37067,SingleFamily,2018,1993,22215,1883,2.5,3,241329,Winston-Salem,city
6817116464000,2537 Deercreek Dr,27106,Winston Salem,NC,36.137016,-80.315163,37067,SingleFamily,2018,1993,21780,1883,2.5,3,241329,Winston-Salem,city
6815117558000,3700 Olympia Dr,27104,Winston Salem,NC,36.082756,-80.313916,37067,SingleFamily,2018,1972,13503,1334,2.0,3,173324,South Fork,neighborhood
6833908803000,563 Salem Springs Dr,27107,Winston Salem,NC,36.026727,-80.218146,37067,SingleFamily,2018,2015,8276,1601,3.0,3,149864,Winston-Salem,city
6816793551000,1828 Polo Rd,27106,Winston Salem,NC,36.132201,-80.295698,37067,SingleFamily,2018,1950,14810,1673,2.0,3,172424,Ashlet Forest,neighborhood
6848307255000,4747 White Rock Rd,27105,Winston Salem,NC,36.16258,-80.20678,37067,SingleFamily,2018,1963,15246,975,1.0,3,81934,Winston-Salem,city
6806801038000,1020 Huntingdon Rd,27104,Winston Salem,NC,36.105938,-80.326485,37067,SingleFamily,2018,1955,21344,1384,1.5,2,193009,Old Sherwood Forest,neighborhood
6847530491000,5128 Butterfield Dr,27105,Winston Salem,NC,36.143852,-80.202038,37067,SingleFamily,2018,1971,10454,1308,2.0,4,92292,Northampton,neighborhood
6803366805000,2815 Caraway Ln,27103,Winston Salem,NC,36.041981,-80.340834,37067,SingleFamily,2018,1978,24829,1496,2.0,3,156284,Huntington Woods,neighborhood
6806806511000,1100 Huntingdon Rd,27104,Winston Salem,NC,36.107178,-80.324862,37067,SingleFamily,2018,1955,27878,1711,1.5,3,231012,Forestdale,neighborhood
6865228564000,4878 Sedgeview Ln,27107,Winston Salem,NC,36.087128,-80.141021,37067,SingleFamily,2018,1977,20473,1916,2.0,3,183476,Garden View,neighborhood
6834916647000,844 Charles Ct,27107,Winston Salem,NC,36.056493,-80.219104,37067,SingleFamily,2018,1969,9583,1202,1.5,3,59992,Easton,neighborhood
6816448728000,224 Evergreen Dr,27106,Winston Salem,NC,36.119099,-80.304089,37067,SingleFamily,2018,1949,27878,1344,2.0,2,128123,Winston-Salem,city
6822793042000,4960 Bishop Gate Rd,27127,Winston Salem,NC,36.021341,-80.260158,37067,SingleFamily,2018,1967,19602,1735,2.0,3,170564,Wilshire Estates,neighborhood
